Grapheme	Orthography	IPA	Structure
$	NULL	NULL	NULL
/	/	/	/
^	NULL	NULL	NULL
^iok	i o k	j o k	i n c
^iuat	i u a t	j u a t	i m n c
^iuən	i u ə n	j u ə n	i m n c
^yak	y a k	ɥ a k	i n c
a	a	a	n
ai	a i	a i	n N
ak	a k	a k	n c
an	a n	a n	n c
ang	a ng	a ŋ	n c
b	b	b	i
bak	b a k	b a k	i n c
bat	b a t	b a t	i n c
beak	b e a k	b e a k	i m n c
beat	b e a t	b e a t	i m n c
bok	b o k	b o k	i n c
bu	b u	b u	i n
bək	b ə k	b ə k	i n c
d	d	d	i
da	d a	d a	i n
dak	d a k	d a k	i n c
dam	d a m	d a m	i n c
dan	d a n	d a n	i n c
dat	d a t	d a t	i n c
deak	d e a k	d e a k	i m n c
deok	d e o k	d e o k	i m n c
dj	d j	dʲ	i
do	d o	d o	i n
dok	d o k	d o k	i n c
du	d u 	d u	i n
duk	d u k	d u k	i n c
dz	dz	dz	i
dza	dz a	dz a	i n
dzak	dz a k	dz a k	i n c
dzan	dz a n	dz a n	i n c
dzh	dzh	dzʰ	i
dzok	dz o k	dz o k	i n c
dzu	dz u	dz u	i n
dzə	dz ə	dz ə	i n
dzək	dz ə k	dz ə k	i n c
də	d ə 	d ə	i n
dək	d ə k	d ə k	i n c
e	e	e	n
eai	e a i	e a i	m n c
eam	e a m	e a m	m n c
ean	e a n	e a n	m n c
eat	e a t	e a t	m n c
ek	e k	e k	n c
en	e n	e n	n c
eng	e ng	e ŋ	n c
eok	e o k	e o k	m n c
eong	e o ng	e o ŋ	m n c
et	e t	e t	n c
g	g	g	i
h	h	h	i
ha	h a	h a	i n
ham	h a m	h a m	i n c
han	h a n	h a n	i n c
hat	h a t	h a t	i n c
he	h e	h e	i n
hea	h e a	h e a	i m n
heam	h e a m	h e a m	i m n c
hean	h e a n	h e a n	i m n c
heat	h e a t	h e a t	i m n c
heəp	h e ə p	h e ə p	i m n c
ho	h o	h o	i n
hoa	h o a	h o a	i m n
hoak	h o a k	h o a k	i m n c
hoan	h o a n	h o a n	i m n c
hoəm	h o ə m	h o ə m	i m n c
hu	h u	h u	i n
huk	h u k	h u k	i n c
həp	h ə p	h ə p	i n c
i	i	j	m
ia	i a	i a	m n
iai	i a i	i a i	m n c
iak	i a k	i a k	m n c
iam	i a m	i a m	m n c
ian	i a n	i a n	m n c
iang	i a ng	i a ŋ	m n c
iap	i a p	i a p	m n c
iat	i a t	i a t	m n c
ie	i e	i e	m n
iei	i e i	i e i	m n c
iek	i e k	i e k	m n c
ien	i e n	i e n	m n c
ieng	i e ng	i e ŋ	m n c
iet	i e t	i e t	m n c
io	i o	i o	m n
iok	i o k	i o k	m n c
iong	i o ng	i o ŋ	m n c
iu	i u	i u	m n
iuai	i u a i	i u a i	i m n c
iuk	i u k	i u k	m n c
iuəi	i u ə i	i u ə i	i m n c
iuəm	i u ə m	j u ə m	i m n c
iuət	i u ə t	j u ə t	i m n c
iô	i ô	i ô/o	m n
iôk	i ô k	i ô/o k	i n c
iə	i ə	i ə	m n
iək	i ə k	i ə k	m n c
iəm	i ə m	i ə m	m n c
iən	i ə n	i ə n	m n c
iəng	i ə ng	i ə ŋ	m n c
iəp	i ə p	i ə p	m n c
j	j	j	m
jia	j i a	j i a	i m n
jian	j i a n	j i a n	i m n c
jiap	j i a p	j i a p	i m n c
jiat	j i a t	j i a t	i m n c
jiek	j i e k	j i e k	i m n c
jien	j i e n	j i e n	i m n c
jiet	j i e t	j i e t	i m n c
jio	j i o	j i o	i m n
jiok	j i o k	j i o k	i m n c
jiə	j i ə	j i ə	i m n
jiək	j i ə k	j i ə k	i m n c
k	k	k	c
ka	k a	k a	i n
kak	k a k	k a k	i n c
kam	k a m	k a m	i n c
kan	k a n	k a n	i n c
kat	k a t	k a t	i n c
ke	k e	k e	i n
kea	k e a	k e a	i m n
keak	k e a k	k e a k	i m n c
keam	k e a m	k e a m	i m n c
kean	k e a n	k e a n	i m n c
keap	k e a p	k e a p	i m n c
keok	k e o k	k e o k	i m n c
ket	k e t	k e t	i n c
keən	k e ə n	k e ə n	i m n c
kh	kh	kʰ	i
ko	k o	k o	i n
koa	k o a	k o a	i m n
koan	k o a n	k o a n	i m n c
kok	k o k	k o k	i n c
koək	k o ə k	k o ə k	i m n c
koən	k o ə n	k o ə n	i m n c
ku	k u	k u	i n
kuk	k u k	k u k	i n c
kək	k ə k	k ə k	i n c
kət	k ə t	k ə t	i n c
l	l	l	i
la	l a	l a	i n
lak	l a k	l a k	i n c
lam	l a m	l a m	i n c
lan	l a n	l a n	i n c
lo	l o	l o	i n
lok	l o k	l o k	i n c
lu	l u	l u	i n
lə	l ə	l ə	i n
m	m	m	c
mak	m a k	m a k	i n c
mea	m e a	m e a	i m n
meak	m e a k	m e a k	i m n c
mean	m e a n	m e a n	i m n c
meat	m e a t	m e a t	i m n c
meə	m e ə	m e ə	i m n
mok	m o k	m o k	i n c
mu	m u	m u	i n
mə	m ə	m ə	i n
n	n	n	c
na	n a	n a	i n
nak	n a k	n a k	i n c
nan	n a n	n a n	i n c
ng	n g	ŋ	c
nj	nj	nʲ	i
nə	n ə	n ə	i n
nəm	n ə m	n ə m	i n c
nəp	n ə p	n ə p	i n c
o	o	o	n
ok	o k	o k	n c
ong	o ng	o ŋ	n c
p	p	p	i
pak	p a k	p a k	i n c
pan	p a n	p a n	i n c
pea	p e a	p e a	i m n
peak	p e a k	p e a k	i m n c
peat	p e a t	p e a t	i m n c
ph	ph	pʰ	i
pok	p o k	p o k	i n c
pu	p u	p u	i n
pək	p ə k	p ə k	i n c
pən	p ə n	p ə n	i n c
q	q	q	i
s	s	s	i
sa	s a	s a	i n
sak	s a k	s a k	i n c
sh	sh	ʃ	i
sj	sj	sʲ	i
sok	s o k	s o k	i n c
su	s u	s u	i n
sək	s ə k	s ə k	i n c
səm	s ə m	s ə m	i n c
t	t	t	i
ta	t a	t a	i n
tan	t a n	t a n	i n c
tat	t a t	t a t	i n c
tek	t e k	t e k	i n c
teok	t e o k	t e o k	i m n c
th	th	tʰ	i
thj	thj	tʰʲ	i
tj	tj	tʲ	i
to	t o	t o	i n
ts	ts	ts	i
tsak	ts a k	ts a k	i n c
tsan	ts a n	ts a n	i n c
tsh	tsh	tsʰ	i
tsu	ts u	ts u	i n
tsə	ts ə	ts ə	i n
tsəm	ts ə m	ts ə m	i n c
tu	t u	t u	i n
tuk	t u k	t u k	i n c
tz	tz	tz/ʈʂ	i
tzh	tzh	tzh/ʈʂʰ	i
tək	t ə k	t ə k	i n c
təm	t ə m	t ə m	i n c
təp	t ə p	t ə p	i n c
u	u	w	m
uəm	u ə m	u ə m	m n c
uət	u ə t	u ə t	m n c
x	x	x	i
xa	x a	x a	i n
xak	x a k	x a k	i n c
xan	x a n	x a n	i n c
xeak	x e a k	x e a k	i m n c
xu	x u	x u	i n
xə	x ə	x ə	i n
xək	x ə k	x ə k	i n c
y	y	ɥ	m
ya	y a	y a	m n
yai	y a i	y a i	m n c
yak	y a k	y a k	m n c
yei	y e i	y e i	m n c
yek	y e k	y e k	m n c
yet	y e t	y e t	m n c
yu	y u	y u	m n
yuən	y u ə n	y u ə n	i m n c
yəm	y ə m	y ə m	m n c
z	z	z	i
zh	zh	ʒ	i
zj	zj	zʲ	i
ô	ô	ô/o	n
ôk	ô k	ô/o k	n c
ə	ə	ə	n
ək	ə k	ə k	n c
ən	ə n	ə n	n c
əng	ə ng	ə ŋ	n c
ət	ə t	ə t	n c
